timestamp,update_count,episodes,total_steps,opponent,avg_reward,avg_length,win_rate,actor_loss,critic_loss,entropy,kl_div,sps
2026-08-01 14:35:37,1,78,2048,random_agent,-0.6264489214489215,23.23076923076923,17.94871794871795,-0.0034454189735697582,0.2575636152178049,1.4524071216583252,0.006125118146883324,112.81327861536839
2026-08-01 14:35:57,2,158,4096,heuristic_agent,-0.5229603174603175,25.1625,24.0,-0.005035596463130787,0.22488207230344415,1.4272174946963787,0.007344613833993208,100.7597376318445
2026-08-01 14:36:15,3,234,6144,random_agent,-0.5945969089390143,27.105263157894736,22.0,-0.0035972644691355526,0.17985996534116566,1.4800856821238995,0.007080900617438601,119.10201158035319
2026-08-01 14:36:29,4,317,8192,tactical_agent,-0.5041365461847389,25.289156626506024,21.0,-0.006036916165612638,0.2051181886345148,1.3869068585336208,0.007830598166037817,137.3625710912687
2026-08-01 14:36:44,5,384,10240,random_agent,-0.5978725420516465,28.955223880597014,21.0,-0.002085474960040301,0.14632899034768343,1.3929194137454033,0.006660619939793833,136.99286743357632
2026-08-01 14:37:00,6,473,12288,setup_agent,-0.5768360977349741,24.53932584269663,21.0,-0.003540703095495701,0.19233053922653198,1.3502435125410557,0.008601586203440093,130.973725738686
2026-08-01 14:37:15,7,550,14336,heuristic_agent,-0.26883735312306745,24.68831168831169,31.0,-0.005964945041341707,0.2176964064128697,1.3607723712921143,0.0037589878593280446,141.10430369924916
2026-08-01 14:37:29,8,634,16384,setup_agent,-0.2498318216175359,24.773809523809526,36.0,-0.003432662779232487,0.24659033166244626,1.3178644180297852,0.005524614451132948,144.00501054077765
2026-08-01 14:37:44,9,722,18432,greedy_agent,-0.07815656565656566,23.193181818181817,45.0,-0.005633200373267755,0.2660721861757338,1.3247222490608692,0.006376892644766485,134.00548634182752
2026-08-01 14:38:00,10,814,20480,tactical_agent,-0.0088216011042098,22.880434782608695,49.0,-0.002131571207428351,0.25652031088247895,1.1958064250648022,0.00678541560046142,132.6219952860936
2026-08-01 14:38:15,11,907,22528,tactical_agent,0.02860897764123571,22.150537634408604,50.0,-0.003552825713995844,0.25731207244098186,1.1411514393985271,0.0034987435210496187,138.02744729629248
